population,average_age,average_health,average_stress,average_bank_balance,average_debt,gini_coefficient,unemployment_rate,average_education,hospital_strain,death_toll,average_life_expectancy,seir_susceptible,seir_exposed,seir_infected,seir_recovered,infant_mortality,tick,government_capital,private_capital,dependency_ratio,total_wealth_inherited,total_wealth_escheated
155,35.76808416111876,71.50367951165642,3.9538734872789996,9433.04970587608,107.22473381530902,0.4821764118981664,0.0,0.5540966050079401,0.0,3,49.08087762503673,151,0,0,4,26.0,81,-56815.65663347641,884279.9832766216,0.631578947368421,3276.366166816633,1037.1459125989745
155,35.85141749445209,71.22959592576858,3.680078356427614,9506.833159058191,106.94059862970624,0.48379638357155685,0.0,0.5547417662982628,0.0,3,49.08087762503673,151,0,0,4,26.0,82,-58069.17935834507,891854.8509494212,0.631578947368421,3276.366166816633,1037.1459125989745
154,35.670897907682004,71.60295611148617,4.064453463007504,9503.655415268198,107.34438231800877,0.4818677377066023,0.0,0.5565806108944663,0.0,4,55.95268334970578,150,0,0,4,26.0,83,-38284.64650707349,901493.9619332701,0.631578947368421,3276.366166816633,22702.04959450993
155,35.523558781395884,71.31775100359681,4.108200068873744,9517.755282947228,93.15290102669123,0.4788471383250359,0.0,0.5537639617919214,0.0,4,55.95268334970578,151,0,0,4,26.0,84,-39392.85731356813,909685.8060722061,0.6210526315789474,3276.366166816633,22702.04959450993
155,35.60689211472922,71.31446482188575,4.038455370342714,9593.42275635114,92.692959902917,0.47588670015418844,0.0,0.554409123082244,0.0,4,55.95268334970578,151,0,0,4,26.0,85,-40842.92208567193,919168.0297374985,0.631578947368421,3276.366166816633,22702.04959450993
155,35.69022544806255,71.45640900567584,4.042301112625292,9669.28931274457,92.22671649553519,0.47298111912064655,0.0,0.5550542843725665,0.0,4,55.95268334970578,151,0,0,4,26.0,86,-42366.77743039864,928454.0455301801,0.631578947368421,3276.366166816633,22702.04959450993
155,35.773558781395884,71.45312282396478,3.7480055022148235,9743.515143305363,91.85884346821543,0.47036308486534106,0.021052631578947368,0.5558284779209536,0.0,4,55.95268334970578,151,0,0,4,26.0,87,-43999.59201127761,938103.3262732499,0.631578947368421,3276.366166816633,22702.04959450993
156,35.6270402421989,71.1764852519286,3.1229696465486874,9750.851992071252,91.1095448429694,0.4680300199284362,0.09473684210526316,0.5530347056265885,0.0,4,55.95268334970578,152,0,0,4,26.0,88,-44667.63934922413,949543.5415097752,0.631578947368421,3276.366166816633,22702.04959450993
156,35.71037357553224,71.58748918014352,3.8945362034724282,9820.188821539994,90.94521459871865,0.4657271296490495,0.10526315789473684,0.5538039363958194,0.0,4,55.95268334970578,152,0,0,4,26.0,89,-46713.40697215656,961021.9272316885,0.6421052631578947,3276.366166816633,22702.04959450993
157,35.565721514541586,71.3099048643164,4.065110205800646,9826.788544611449,90.25309349676091,0.4682173899688711,0.11458333333333333,0.5510408539983938,0.0,4,55.95268334970578,153,0,0,4,26.0,90,-47732.070458679555,971607.2984204696,0.6421052631578947,3276.366166816633,22702.04959450993
157,35.649054847874915,71.30666054479273,3.8540768355829154,9895.549486753856,90.37005447249669,0.46606878833014886,0.10526315789473684,0.5518051852085848,0.0,4,55.95268334970578,153,0,0,4,26.0,91,-49537.67142133869,982265.1599175015,0.6354166666666666,3276.366166816633,22702.04959450993
