population,average_age,average_health,average_stress,average_bank_balance,average_debt,gini_coefficient,unemployment_rate,average_education,hospital_strain,death_toll,average_life_expectancy,tick,government_capital,private_capital
137,33.93434904039779,61.46920231919523,35.67496561115143,434.1539540780341,58.098200974067126,0.7278668260028169,0.6966292134831461,0.30387254979439043,0.0,13,32.980793886982774,38,16342.424390069295,5338.519636223147
137,33.937088766425184,60.268694112232446,36.864437387359736,442.9993192179366,62.53674656280201,0.7311703614017144,0.6741573033707865,0.30387254979439043,0.0,13,32.980793886982774,39,16670.33947422839,5083.2132197814935
136,33.99390256688949,60.959222931406245,37.13251875565914,453.10051751477823,70.62233638974763,0.7362301362277481,0.6741573033707865,0.3048620980371491,0.0,14,32.524005349986396,40,17008.69955672878,5461.8459100442715
136,33.99664229291688,60.48173399654535,38.08606582641625,460.89464194221046,75.34300965296062,0.742517629316459,0.6629213483146067,0.3048620980371491,0.0,14,32.524005349986396,41,17338.560137736342,5362.145139975355
133,34.069412560579806,60.6035431727861,37.67315829907498,480.67860335576154,82.32470366198486,0.7420361288147481,0.6590909090909091,0.308744459777905,0.0,17,32.23647993641868,42,17648.071167400358,5156.572985368572
132,33.9872741090782,61.10869110768698,37.451394778756324,492.19220007794974,91.11843075327685,0.7451932999499808,0.6436781609195402,0.30918677221379115,0.0,18,32.960901702197425,43,17971.16760085518,5586.040319219775
131,33.90116752275278,61.15537116311112,37.53721231655387,507.6348351506488,99.18303118683653,0.7456885661253867,0.627906976744186,0.30771574539360885,0.0,19,33.627637441730485,44,18269.59089772173,5456.293474530141
131,33.90390724878018,60.359847429019126,38.59348687972606,517.0306436911477,104.74613198587153,0.7493500793447196,0.6511627906976745,0.30771574539360885,0.0,19,33.627637441730485,45,18555.70837165883,5333.419371724417
131,33.90664697480757,60.42868200868757,38.730246246347875,525.3977972785594,113.32875003606635,0.7536207401707677,0.6744186046511628,0.30771574539360885,0.0,19,33.627637441730485,46,18851.550604959433,5634.3875118879005
130,33.865436950395186,60.39478888410566,39.15057681906996,539.6353403467047,120.12463089164225,0.7554299997377891,0.6470588235294118,0.30840180827975067,0.0,20,33.9273982825443,47,19123.14512168718,5427.763809449516
